Name,Rating,Food Type,Price_range,area
Choudhary Annapurna Bhojanalaya,3.6,"North Indian, Biryani, Thalis, Mughlai, Snacks, Kebabs, Afghani, Tandoor, Indian...",₹300 FOR TWO,jaipur
Kanha,4.3,"Sweets, Fast Food, North Indian, South Indian, Chinese, Snacks, Beverages, India...",₹200 FOR TWO,jaipur
Rawat Misthan Bhandar - Sodala,4.0,"Bakery, Sweets, South Indian, North Indian, Chinese",₹300 FOR TWO,jaipur
THE BOMBAY ROLL EXPRESS,3.9,Snacks,₹200 FOR TWO,jaipur
Neha Bakers,3.5,"Bakery, Desserts",₹200 FOR TWO,jaipur
Thali n Platters,4.0,North Indian,₹300 FOR TWO,jaipur
Saini Dhaba - Sodala,3.9,"North Indian, Beverages",₹150 FOR TWO,jaipur
The Thali House,--,"North Indian, Thalis",₹200 FOR TWO,jaipur
Choudhary Dhaba Khatipura Mod,3.9,"North Indian, Thalis, Chinese, Mughlai, Chaat, Punjabi, Desserts, Snacks, Rajast...",₹200 FOR TWO,jaipur
La Pino'z Pizza - C Scheme,3.8,"Pizzas, Italian, Beverages, Desserts",₹400 FOR TWO,jaipur
Bombay Mishthan Bhandar(BMB),4.1,"North Indian, Thalis, Rajasthani, Snacks, Sweets, Indian",₹300 FOR TWO,jaipur
RAJ MAHAVEER RABDI BHANDAR SHUDH BHOJNALAYA,--,"Sweets, North Indian, Indian",₹100 FOR TWO,jaipur
Nice to meat you,--,Biryani,₹320 FOR TWO,jaipur
Spice Court,4.1,"North Indian, Biryani, Thalis, Mughlai, Snacks, Combo, Kebabs, Afghani, Tandoor,...",₹1000 FOR TWO,jaipur
Dzurt Patisserie and Cafe,4.2,"Bakery, Desserts, Beverages",₹600 FOR TWO,jaipur
Ajmera Bakers,--,Bakery,₹200 FOR TWO,jaipur
PIZZA BAR,3.6,"Pizzas, Beverages",₹250 FOR TWO,jaipur
Brot Company,4.4,"Pizzas, Italian, Continental, Desserts, Bakery, Chinese, Pastas",₹600 FOR TWO,jaipur
The Belgian Waffle Co.,4.3,"Waffle, Desserts, Ice Cream",₹200 FOR TWO,jaipur
Cake Krishna,--,"Bakery, Fast Food, Snacks",₹200 FOR TWO,jaipur
Winterfell Ice Cream Bar,--,"Desserts, Fast Food",₹300 FOR TWO,jaipur
Shudh Desi Kitchen,--,North Indian,₹300 FOR TWO,jaipur
Khandelwal dhaba,3.1,"North Indian, Thalis, Chinese, Mughlai, Fast Food, Chaat, Punjabi, Desserts, Com...",₹250 FOR TWO,jaipur
Pizza Hut,3.2,Pizzas,₹350 FOR TWO,jaipur
MUSKAN BAKERY,--,"Bakery, Desserts",₹500 FOR TWO,jaipur
Cake,2.8,Bakery,₹350 FOR TWO,jaipur
Ganesh tadka,--,North Indian,₹200 FOR TWO,jaipur
Miami Shakes & More,5.0,"Beverages, Desserts, Waffle, Ice Cream, Bakery",₹200 FOR TWO,jaipur
CAKE O CLOCK,--,Bakery,₹500 FOR TWO,jaipur
Aunty Coffee Cafe,--,"Beverages, Fast Food, Italian, Bakery",₹200 FOR TWO,jaipur
Sunrise Bakers & Confectioners,--,Bakery,₹300 FOR TWO,jaipur
Hot Billions,3.6,"North Indian, Kashmiri, Chinese, Continental",₹300 FOR TWO,jammu
Eleven Spices,3.9,North Indian,₹600 FOR TWO,jammu
ART OF SPICES,--,"North Indian, Chinese, Snacks, Biryani, Tandoor",₹500 FOR TWO,jammu
Grill N Chill,--,"North Indian, Chinese",₹300 FOR TWO,jammu
Fun Bytes - Exchange Road,3.7,"Beverages, Pizzas, Burgers, North Indian, Italian, Fast Food, Snacks",₹400 FOR TWO,jammu
Dadi Maa's Kitchen,3.5,"North Indian, Chinese, Snacks",₹150 FOR TWO,jammu
Espato Desi Ghee Ka Desi Khana,--,"Indian, North Indian",₹300 FOR TWO,jammu
Rangla Punjab,3.7,"Indian, Chinese",₹250 FOR TWO,jammu
Rawal Pindi Sweet Shop,3.8,"North Indian, Beverages",₹250 FOR TWO,jammu
Pizza meal,--,"Italian-American, Pizzas, American, Beverages",₹200 FOR TWO,jammu
Premier Dhaba,--,"North Indian, Mughlai, Kashmiri",₹450 FOR TWO,jammu
Kingdom of Momos,4.1,"North Indian, Chinese, Asian",₹300 FOR TWO,jammu
Bangs,3.7,North Indian,₹300 FOR TWO,jammu
Shah di hatti,--,Indian,₹100 FOR TWO,jammu
Kwality Sweets - Canal Road,4.1,"Fast Food, Beverages, Street Food, Sweets, Pizzas",₹400 FOR TWO,jammu
Khaana Khazana,3.7,"Chinese, Desserts, Italian, North Indian, South Indian, Continental, Beverages",₹700 FOR TWO,jammu
MASALA BITES,--,"Chinese, Burgers, Fast Food",₹500 FOR TWO,jammu
Grill Inn - Akhnoor Road,4.0,"American, Beverages, Pizzas",₹200 FOR TWO,jammu
Cosmo Kitchen,3.9,"North Indian, Indian, Desserts, Italian, Fast Food, Salads, Pizzas, Thai, Contin...",₹700 FOR TWO,jammu
Barista - Residency Road,3.9,"Beverages, Snacks, Desserts",₹350 FOR TWO,jammu
The Biryani Wala,4.1,"Biryani, Indian",₹500 FOR TWO,jammu
Vimpi's Chicken - Channi Himmat,3.8,"North Indian, Chinese, Continental, Pizzas",₹250 FOR TWO,jammu
Kesar Restaurant,3.7,"North Indian, Chinese, Thalis, Beverages, Biryani, Tandoor, Salads",₹350 FOR TWO,jammu
Green Land Bakery,--,"Bakery, Snacks",₹250 FOR TWO,jammu
Perfect Kitchen,--,"Chinese, Beverages",₹200 FOR TWO,jammu
Shiv Vaishno Dhaba,3.7,North Indian,₹200 FOR TWO,jammu
KC 360,3.8,"North Indian, Chinese, Snacks, Continental",₹400 FOR TWO,jammu
Kekiz The Cake Shop,--,"Bakery, Desserts",₹500 FOR TWO,jammu
Singh's Brother,--,"Snacks, Chinese, Indian",₹400 FOR TWO,jammu
SIIP AND ZIIP,--,"Chinese, North Indian, Beverages",₹300 FOR TWO,jammu
Bikano Family Restaurant,3.3,"Chinese, Continental, North Indian, Mughlai",₹500 FOR TWO,jammu
Espato My Learn Coffee,--,"Pizzas, Fast Food, Snacks, Chinese, Beverages",₹300 FOR TWO,jammu
Chinese Fast Food,3.2,"Asian, Chinese, Continental",₹250 FOR TWO,jammu
WAZWAN by KAPSON,--,North Indian,₹400 FOR TWO,jammu
La Pino'z Pizza,3.7,Pizzas,₹300 FOR TWO,jammu
Pahalwan Chicken Corner,3.6,"North Indian, Kashmiri, Mughlai",₹450 FOR TWO,jammu
The Chai Theka,--,Beverages,₹300 FOR TWO,jammu
The Fat Duck 1,--,"Chinese, North Indian, Snacks, Fast Food, Pizzas, Beverages",₹100 FOR TWO,jammu
Cookie Crumb Bakers & Cafe,3.9,"Pizzas, Snacks, Burgers, Fast Food, Beverages",₹300 FOR TWO,jammu
21 China Town,--,"North Indian, Snacks, Desserts, Beverages, Chinese, Fast Food, Sushi",₹300 FOR TWO,jammu
Sharma Hotel Baggar Wale,4.2,North Indian,₹450 FOR TWO,jammu
Vimpi's Chicken,3.6,"North Indian, Pizzas, Chinese, Italian, Pastas",₹400 FOR TWO,jammu
Dominee - The Pizza Expert,3.8,North Indian,₹350 FOR TWO,jammu
Amrut Indian Street Food,4.1,"North Indian, Snacks, Street Food, South Indian",₹200 FOR TWO,jammu
The Lime Tree - Lords Inn,--,"North Indian, Asian, Snacks",₹500 FOR TWO,jammu
D Village,3.7,"North Indian, Continental, Chinese",₹250 FOR TWO,jammu
Bakers 'R' Us,4.0,Bakery,₹200 FOR TWO,jammu
Winni Cakes and More,3.3,"Bakery, Fast Food",₹400 FOR TWO,jammu
Nick Bakers & Cafe,2.8,Bakery,₹600 FOR TWO,jammu
Fun Bytes - Gandhi Nagar,3.7,"Fast Food, Snacks, Pizzas, Continental",₹200 FOR TWO,jammu
Food Colab,3.9,"Chinese, Indian, Continental",₹300 FOR TWO,jammu
7th Heaven,4.0,"Bakery, Desserts, Pizzas, Chinese",₹400 FOR TWO,jammu
Wok,4.1,"Asian, Chinese, Continental",₹300 FOR TWO,jammu
Masala Diary,3.5,Indian,₹300 FOR TWO,jammu
Vanilla Bean by Anu,--,"Bakery, Desserts",₹500 FOR TWO,jammu
Sharma Vaishno Dhaba,3.5,"North Indian, Thalis, Beverages, Desserts",₹200 FOR TWO,jammu
M/s Veera Cake and bakers (Kekiz),--,"Bakery, Desserts",₹500 FOR TWO,jammu
Asian Fusion House,4.2,"Asian, Chinese, Continental",₹300 FOR TWO,jammu
Darshan Sweets & Italian Bake Studio,3.8,"Pizzas, Snacks, Beverages",₹200 FOR TWO,jammu
Bagwati Food,--,Indian,₹150 FOR TWO,jammu
Pradhan Snacks,--,"Snacks, Sweets",₹250 FOR TWO,jammu
Subway,3.7,"Healthy Food, Salads, Snacks, Desserts, Beverages",₹500 FOR TWO,jammu
Hungry Point,3.6,"Pizzas, Beverages",₹250 FOR TWO,jammu
PVR Cafe,--,"Snacks, Fast Food, Beverages",₹400 FOR TWO,jammu
Grill Inn,3.5,"Continental, Chinese, Pizzas, Pastas",₹300 FOR TWO,jammu
Pahalwan's,3.9,"North Indian, Chinese, Desserts, South Indian, Sweets, Snacks, Street Food, Ice ...",₹400 FOR TWO,jammu
Momo Hut,3.6,"Chinese, Pan-Asian, Continental",₹200 FOR TWO,jammu
Amritsari Kulcha Hut - Bus Stand,4.2,"North Indian, Beverages",₹300 FOR TWO,jammu
McDonald's,4.1,"American, Continental, Beverages",₹400 FOR TWO,jammu
Kwality Walls Frozen Dessert and Ice Cream Shop,4.7,"Desserts, Ice Cream, Ice Cream Cakes",₹300 FOR TWO,jammu
Hari Om Ganti Wala Naan,--,North Indian,₹250 FOR TWO,jammu
The Kalari Factory,3.4,"Fast Food, Chinese, Beverages",₹400 FOR TWO,jammu
Sain Ji Di Hatti,--,"North Indian, Pastas, Pizzas, Chinese",₹200 FOR TWO,jammu
Nai Delhi,3.7,"North Indian, Chinese, Snacks, Tandoor",₹300 FOR TWO,jammu
Chicago Pizza,4.1,Pizzas,₹400 FOR TWO,jammu
Humpty Dumpty,4.2,"North Indian, Chinese, Pizzas, Snacks, Fast Food, Burgers, Beverages",₹400 FOR TWO,jammu
Mango,4.1,"Continental, Chinese, Pastas, Pizzas",₹300 FOR TWO,jammu
Jani Di Hatti,4.3,"North Indian, Snacks, Beverages",₹300 FOR TWO,jammu
KFC,4.0,"American, Snacks, Biryani",₹450 FOR TWO,jammu
The big belly,3.8,"Snacks, Indian",₹200 FOR TWO,jammu
Maa Shitla Bhojnalay & fast food,3.5,"Chinese, South Indian, Indian",₹300 FOR TWO,jhansi
SANDWITCH & SHAKS,2.3,Chinese,₹200 FOR TWO,jhansi
Tiwari sweets and food,--,"South Indian, Indian, Chinese, Thalis",₹250 FOR TWO,jhansi
PERRY PIZZA,--,"Italian, Pastas, Snacks",₹200 FOR TWO,jhansi
RAJBIHARI,--,"Snacks, Indian",₹150 FOR TWO,jhansi
Prakash Doodh And Mishthan Bhandar,--,"Sweets, Snacks",₹300 FOR TWO,jhansi
Khushboo Shop,--,"South Indian, Snacks",₹200 FOR TWO,jhansi
Emotion's Cake & Bakery,--,Bakery,₹300 FOR TWO,jhansi
7th Heaven cafe,3.6,"Bakery, Ice Cream, Pizzas",₹250 FOR TWO,jhansi
Pizza Factory & Food,3.0,"Chinese, Italian-American, Pizzas",₹200 FOR TWO,jhansi
7th Heaven,3.8,Bakery,₹300 FOR TWO,jhansi
Winni Cakes & More,--,"Bakery, Snacks, Desserts, Fast Food",₹200 FOR TWO,jhansi
The Bakers Factory,3.9,"Asian, Bakery, North Indian, Italian, Lebanese, South Indian",₹400 FOR TWO,jhansi
Kushwaha ji Foods & Caters,3.3,Biryani,₹100 FOR TWO,jhansi
Rolls Mania,4.0,Beverages,₹300 FOR TWO,jhansi
UB's Restaurant - Sunrise Hotel,4.0,"North Indian, Mughlai, Chinese",₹500 FOR TWO,jhansi
The Chacha's Biryani,3.7,Biryani,₹150 FOR TWO,jhansi
Pandit JI Bekary & Namkeen Corner,--,Bakery,₹150 FOR TWO,jhansi
Bikanervala,4.0,"Chinese, Ice Cream, North Indian, Pizzas, Snacks, South Indian, Sweets, Tandoor,...",₹300 FOR TWO,jhansi
Burger Ji,4.1,"Italian, Continental, Snacks",₹250 FOR TWO,jhansi
Barbeque Nation,4.0,"North Indian, Barbecue, Biryani, Kebabs, Mughlai, Desserts",₹600 FOR TWO,jhansi
Jannak's Restaurant,3.6,"North Indian, Chinese, South Indian, Beverages",₹100 FOR TWO,jhansi
Pizza Hut,3.8,Pizzas,₹350 FOR TWO,jhansi
UBQ by Barbeque Nation,3.8,"North Indian, Barbecue, Biryani, Kebabs, Mughlai, Desserts",₹300 FOR TWO,jhansi
Balaji Bake 'n' Cake,--,"Bakery, Desserts, Fast Food, Pizzas, Snacks",₹300 FOR TWO,jhansi
Burger point,3.5,"American, Fast Food, Snacks, Beverages",₹300 FOR TWO,jhansi
Domino's Pizza,3.9,Pizzas,₹400 FOR TWO,jhansi
Shri Annapurna Thali,4.0,"Beverages, Indian, Italian, Mexican, North Indian",₹250 FOR TWO,jhansi
THE KITCHEN by the wood fire kitchen,--,"Biryani, Indian",₹200 FOR TWO,jhansi
Bundeli foods,2.8,"Chinese, Indian",₹250 FOR TWO,jhansi
World Of Pizzeria Bistro,2.3,"North Indian, Chinese, Italian, Mexican",₹200 FOR TWO,jhansi
Nav Bharat Restaurant & Ice Creamery,--,"North Indian, Chinese, Snacks, Biryani, Fast Food, Beverages, Desserts",₹250 FOR TWO,jhansi
Singh Foods- By Hotel Singh Regency,3.6,"North Indian, Chinese",₹400 FOR TWO,jhansi
Nimmi Fast Food Center,4.2,Fast Food,₹100 FOR TWO,jhansi
Pradeep Doodh Bhandaar,4.4,"Bakery, Beverages",₹280 FOR TWO,jhansi
The Grand Dosa venu,3.2,South Indian,₹100 FOR TWO,jhansi
New Thali Restaurant,--,"Thalis, North Indian",₹200 FOR TWO,jhansi
Hotel Tulsi Restaurant,3.9,"North Indian, Mughlai, Chinese",₹500 FOR TWO,jhansi
Pizzastan,--,"Italian, Pizzas",₹200 FOR TWO,jhansi
Happy Pizza Hub,--,Pizzas,₹200 FOR TWO,jhansi
Kushwaha Ji Veg Biryani,4.1,"Mughlai, Biryani",₹150 FOR TWO,jhansi
Veg Thali Restaurant,--,"Thalis, Indian",₹200 FOR TWO,jhansi
LA' CHEF By K3 Club Residency,4.0,North Indian,₹250 FOR TWO,jhansi
The High Ground Cafe & Restaurant,--,"Fast Food, Italian, Chinese, Snacks",₹300 FOR TWO,jhansi
LALA JI FOODS,--,"Chinese, South Indian",₹200 FOR TWO,jhansi
Chelaram FastFood,3.4,"Fast Food, South Indian, Chinese",₹200 FOR TWO,jhansi
Gupta Ji Aloo Bonda,3.5,"Sweets, Snacks",₹100 FOR TWO,jhansi
MOTIMAHAL DELUX,--,"Indian, Tandoor",₹900 FOR TWO,jhansi
Jatin Food Corner,--,Indian,₹450 FOR TWO,jhansi
JATIN FOOD'S & RESTRO,--,"Chinese, South Indian, Italian",₹200 FOR TWO,jhansi
Chai Sutta Bar,--,"Cafe, Beverages, Fast Food",₹200 FOR TWO,jhansi
ALFA FOODS,--,"North Indian, Fast Food, South Indian",₹200 FOR TWO,jhansi
The Grand Tulsi Hotel,3.9,"Indian, Chinese",₹500 FOR TWO,jhansi
The Veg Food Restaurant BY VEG THALI RESTAURENT,3.1,"Thalis, North Indian",₹200 FOR TWO,jhansi
MOR MUKUT PITHA BHANDAR,--,"Street Food, Sweets",₹200 FOR TWO,jhansi
Cafe Tulsi & Chelaram Sweet,3.8,Sweets,₹100 FOR TWO,jhansi
Hotel Bundelkhand Pride,--,"Indian, Desserts, Thalis",₹250 FOR TWO,jhansi
Shake it up,--,Beverages,₹250 FOR TWO,jhansi
Top N Town,4.0,"Beverages, Desserts",₹350 FOR TWO,jhansi
Queen Courts,--,"North Indian, Biryani, Snacks",₹200 FOR TWO,jhansi
Ikram Khan's Cuisine,3.4,Mughlai,₹100 FOR TWO,jhansi
Shalimar Biryani,2.5,Biryani,₹200 FOR TWO,jhansi
Cake Junction,3.4,"Bakery, Desserts",₹500 FOR TWO,jhansi
Nataraj sarovar Portico,4.0,Bakery,₹550 FOR TWO,jhansi
Agarwal Ji Ke Speical Chole Bhature,--,Indian,₹100 FOR TWO,jhansi
Three C Cafeteria,--,"Chinese, Beverages",₹100 FOR TWO,jhansi
Burger Singh (Big Punjabi Burgers),3.9,"American, Indian, Snacks, Desserts, Beverages",₹300 FOR TWO,jhansi
Burger Ji - Rani Laxmibai,3.9,Beverages,₹150 FOR TWO,jhansi
Fruit Zone,--,"Beverages, Salads",₹200 FOR TWO,jhansi
BURGER KITCHIN,--,Beverages,₹200 FOR TWO,jhansi
CAKE MY WAY,--,Bakery,₹150 FOR TWO,jhansi
HEADQUARTER ISOLATE,--,"North Indian, Continental, Tandoor, Desserts",₹700 FOR TWO,jhansi
MARVEL CAFE,--,"Cafe, Italian, Fast Food, Burgers, Snacks, Ice Cream, Desserts",₹200 FOR TWO,jhansi
Hotel Ambience-Swaad Restaurant,3.7,"North Indian, Continental, Chinese, South Indian",₹500 FOR TWO,jhansi
Foodies Panda,--,"Pizzas, Pastas, Snacks",₹200 FOR TWO,jhansi
Mumbai Masala Cafe,--,"Snacks, Chinese, Italian-American",₹300 FOR TWO,jhansi
Bundeli Sweets and Food,3.2,"Indian, South Indian, Beverages",₹200 FOR TWO,jhansi
The Egg Corner,--,Indian,₹200 FOR TWO,jhansi
Drunk & Down Cafe,--,"Cafe, Beverages, Indian, Fast Food, Snacks",₹200 FOR TWO,jhansi
Hotel Sita,--,Indian,₹200 FOR TWO,jhansi
Apna Dhaba,4.1,"Beverages, North Indian, Punjabi, Desserts, Tandoor",₹300 FOR TWO,kolkata
Agarwal's Kitchen,4.2,"Thalis, North Indian, Desserts, Beverages",₹250 FOR TWO,kolkata
KFC,4.3,"American, Snacks, Biryani",₹450 FOR TWO,kolkata
Banana Leaf,4.3,South Indian,₹200 FOR TWO,kolkata
Chowman-Salt Lake,4.4,"Chinese, Asian, Oriental, Pan-Asian, Thai",₹700 FOR TWO,kolkata
Wow! Momo,4.2,"Tibetan, Healthy Food, Asian, Chinese, Snacks, Continental, Desserts, Beverages",₹300 FOR TWO,kolkata
Pithe Bilashi,4.0,Bengali,₹300 FOR TWO,kolkata
7th Heaven,4.2,"Bakery, Desserts, Snacks, Beverages, Waffle",₹300 FOR TWO,kolkata
Koshe Kosha - Salt Lake,4.3,Bengali,₹500 FOR TWO,kolkata
Momo I am,4.5,"Asian, Chinese, Tibetan",₹350 FOR TWO,kolkata
Royal India Restaurant,4.0,"Biryani, Chinese, Tandoor, North Indian",₹300 FOR TWO,kolkata
Friday Release - Chinese & North Indian,4.7,"North Indian, Biryani, Mughlai, Kebabs, Chinese, Snacks, Desserts",₹300 FOR TWO,kolkata
La Pino'z Pizza,4.0,"Italian, Snacks",₹250 FOR TWO,kolkata
Berlin Burgers,4.3,"Fast Food, Seafood",₹400 FOR TWO,kolkata
Cafe Coffee Day,4.6,"Beverages, Snacks, Desserts",₹300 FOR TWO,kolkata
Kaffee Am Salzsee (Feldberg Foods Private Limited),--,"Beverages, Italian, Fast Food",₹800 FOR TWO,kolkata
POULAMI HOTEL AND ASSOCIATE,--,"Beverages, Indian, Continental",₹300 FOR TWO,kolkata
CHAK LE DHABA,--,Indian,₹300 FOR TWO,kolkata
Fryman Salt lake,3.5,"Chinese, South Indian",₹350 FOR TWO,kolkata
GLACE PATISSERIE,4.1,"Bakery, Desserts, Beverages",₹200 FOR TWO,kolkata
Subway,4.5,"Healthy Food, Salads, Snacks, Desserts, Beverages",₹350 FOR TWO,kolkata
Kookie Jar,4.5,"Desserts, Snacks, Bakery",₹350 FOR TWO,kolkata
Teekha,4.4,"Indian, Mexican, Street Food, Beverages, Chaat",₹250 FOR TWO,kolkata
The Sonnet- Aura,--,"Indian, Chinese, Continental",₹1200 FOR TWO,kolkata
Oh! Calcutta,4.4,"Bengali, Indian, Biryani",₹800 FOR TWO,kolkata
"Kareem's - Salt Lake , Sector 5",4.1,"Biryani, Mughlai",₹1100 FOR TWO,kolkata
Kolkata@99,3.6,Indian,₹200 FOR TWO,kolkata
Oudh 1590 Salt Lake,4.3,"Biryani, Mughlai, North Indian, Awadhi, Kebabs, Lucknowi",₹1000 FOR TWO,kolkata
Ambrosia Restaurant & Bar,--,"Indian, Tandoor, Chinese",₹450 FOR TWO,kolkata
"Cakes,Salt Lake,Sector-I",4.5,"Desserts, Bakery",₹300 FOR TWO,kolkata
Mama Mia! - Italian Ice Creams & Cakes,4.6,"Ice Cream, Desserts, Bakery, Sweets, Beverages, Ice Cream Cakes",₹200 FOR TWO,kolkata
Cakes by Mama Mia!,4.5,"Bakery, Desserts",₹300 FOR TWO,kolkata
Oye Balle Balle Dhaba,4.3,"North Indian, Punjabi, Pan-Asian, Mughlai",₹550 FOR TWO,kolkata
teknix,3.9,Chinese,₹200 FOR TWO,kolkata
Down The Lane,3.9,"Continental, Italian, Mexican",₹800 FOR TWO,kolkata
The Steak & Grill,4.2,"Continental, European",₹1100 FOR TWO,kolkata
Balle Balle Dhaba,4.2,"North Indian, Punjabi, Biryani",₹500 FOR TWO,kolkata
Shawarma Nation,4.1,"Lebanese, Snacks, Indian, Mexican, Healthy Food, Continental",₹500 FOR TWO,kolkata
Bhikharam Chandmal - Salt Lake,4.5,"Snacks, Sweets",₹200 FOR TWO,kolkata
Gangotri,4.4,"Street Food, North Indian, South Indian",₹300 FOR TWO,kolkata
Asia Kitchen By Mainland China,4.7,"Asian, Chinese, Oriental",₹850 FOR TWO,kolkata
Flurys,4.2,"Bakery, Continental",₹450 FOR TWO,kolkata
Aahare Bengali Restaurant,4.2,"Bangladeshi, Bengali",₹200 FOR TWO,kolkata
Desi Champaran Meat,3.5,"North Indian, Indian, Tandoor, Desserts",₹300 FOR TWO,kolkata
Mio Amore - The Cake Shop,4.6,"Desserts, Bakery, Snacks",₹150 FOR TWO,kolkata
Dariole,4.4,"Bakery, Desserts",₹150 FOR TWO,kolkata
Keventers Ice Cream,4.5,"Ice Cream, Desserts",₹300 FOR TWO,kolkata
China Belly By Wow! Momo,3.8,"Chinese, Tibetan, Asian, Fast Food, Beverages, Snacks, Continental, Desserts",₹300 FOR TWO,kolkata
Bhojohori Manna,4.1,Bengali,₹900 FOR TWO,kolkata
AGARWAL TEA AND SNACKS,2.9,Fast Food,₹250 FOR TWO,kolkata
Wow! China,3.8,"Tibetan, Chinese, Asian, Snacks, Continental, Desserts, Beverages",₹400 FOR TWO,kolkata
MBA CHAIWALA SALTLAKE,4.3,"Fast Food, Snacks, Beverages",₹300 FOR TWO,kolkata
Saptapadi,4.3,"Bengali, Thalis",₹500 FOR TWO,kolkata
Azad Hind Dhaba,4.2,North Indian,₹500 FOR TWO,kolkata
Shree Krishna Hot chips,4.5,Snacks,₹80 FOR TWO,kolkata
Bowl Nation,4.0,"North Indian, Chinese, Asian, Continental",₹250 FOR TWO,kolkata
Annapurna food,4.2,Indian,₹200 FOR TWO,kolkata
Pizza Hut,3.8,Pizzas,₹350 FOR TWO,kolkata
Haji Ali,4.1,"Biryani, Mughlai, North Indian, Kebabs, Tandoor, Indian, Chinese",₹500 FOR TWO,kolkata
Rang De Basanti Dhaba,4.1,"North Indian, Kebabs, Mughlai, Biryani, Punjabi, Desserts, Tandoor, Indian, Snac...",₹300 FOR TWO,kolkata
Hatari - Salt Lake,4.5,"Chinese, Indian",₹500 FOR TWO,kolkata
Chennai Square,4.5,"South Indian, Beverages",₹500 FOR TWO,kolkata
China Green,4.1,"Chinese, Asian, Oriental, Thai, Pan-Asian",₹300 FOR TWO,kolkata
Sharma Tea(Salt Lake),4.2,Snacks,₹100 FOR TWO,kolkata
Kwality Wall's Swirl's,3.3,Ice Cream,₹150 FOR TWO,kolkata
Mallika,4.3,"Street Food, Chinese, Tibetan",₹600 FOR TWO,kolkata
Aalia Biryani,4.2,Biryani,₹300 FOR TWO,kolkata
Gupta Brothers Salt Lake,4.3,Sweets,₹100 FOR TWO,kolkata
Aahare Bengali,4.0,"Bengali, Bangladeshi, Indian, Seafood, Desserts, Thalis",₹200 FOR TWO,kolkata
Kurseong Korner,4.1,Chinese,₹600 FOR TWO,kolkata
De Sovrani,2.9,"Indian, Chinese, Continental",₹800 FOR TWO,kolkata
Keventers - Milkshakes and Desserts,4.4,"Beverages, Ice Cream, Desserts, Healthy Food",₹300 FOR TWO,kolkata
Santa's Fantasea - Tribal & Seafood,4.1,"Seafood, Chinese, Thai, North Eastern, Desserts",₹800 FOR TWO,kolkata
Sigree,4.3,"North Indian, Biryani",₹900 FOR TWO,kolkata
Courting Coffees,4.5,Continental,₹300 FOR TWO,kolkata
Super Sub Deli,--,Fast Food,₹200 FOR TWO,kolkata
Scone (Multicuisine Unit),4.3,"Indian, Chinese",₹300 FOR TWO,kolkata
POCKETMEAL,4.1,"Biryani, Mughlai, North Indian, Bengali, Snacks",₹200 FOR TWO,kolkata
The Biryani Inc.,4.2,"Biryani, Mughlai, Kebabs, North Indian",₹350 FOR TWO,kolkata
Sand- De sovrani,--,"Indian, Chinese, Continental",₹800 FOR TWO,kolkata
Mirch Masala,3.5,"Indian, Fast Food, Beverages",₹199 FOR TWO,kota
Eatos,3.9,"North Indian, Chinese, Punjabi, Hyderabadi",₹300 FOR TWO,kota
Laxmi Mess And Fast Food,4.6,Indian,₹200 FOR TWO,kota
UBQ by Barbeque Nation,3.5,"North Indian, Barbecue, Biryani, Kebabs, Mughlai, Desserts",₹300 FOR TWO,kota
Nutrition Cafe,--,"Healthy Food, Salads, Fast Food, Snacks",₹150 FOR TWO,kota
Biryani King Restaurant,2.9,"North Indian, Thalis, Chinese, Mughlai, Fast Food, Chaat, Punjabi, Desserts, Com...",₹200 FOR TWO,kota
Aslii Zaika (CAD),--,"Mughlai, North Indian, Pastas",₹200 FOR TWO,kota
McDonald's,3.9,American,₹350 FOR TWO,kota
Home Cooking,4.8,"Continental, Indian",₹200 FOR TWO,kota
Biloo^s cake town,--,Bakery,₹2600 FOR TWO,kota
Cake Junction,--,Bakery,₹500 FOR TWO,kota
Vada Pav Junction,--,"Street Food, Beverages, Fast Food, Burgers, Snacks",₹200 FOR TWO,kota
Pizza Hut,3.4,"Pizzas, Fast Food",₹350 FOR TWO,kota
Shimla Bakery,3.3,Bakery,₹400 FOR TWO,kota
Chicken Chaska,3.3,"North Indian, Thalis, Chinese, Mughlai, Chaat, Punjabi, Desserts, Snacks, Rajast...",₹220 FOR TWO,kota
Muskan new chaska,--,Chinese,₹150 FOR TWO,kota
Friends Food Zone,--,"South Indian, North Indian, Fast Food, Chinese, Beverages",₹150 FOR TWO,kota
Punjabi Mathri (Bajrang Nagar),4.3,"Snacks, Sweets",₹250 FOR TWO,kota
Rising Bowl,4.0,"Chinese, Snacks, Combo, Indian, Beverages",₹200 FOR TWO,kota
Malik Punjabi Foods,3.9,"Punjabi, Tandoor, North Indian, Thalis",₹200 FOR TWO,kota
"Frozen Bottle - Milkshakes, Desserts And Ice Cream",4.3,"Beverages, Desserts, Ice Cream, Combo, Waffle, Bakery, Healthy Food",₹250 FOR TWO,kota
Treat,4.0,"Pizzas, Italian, Fast Food",₹300 FOR TWO,kota
"Maheshwari ( Bharat Hotel, Gumanpura)",4.1,North Indian,₹250 FOR TWO,kota
City Fast Food,--,"Fast Food, Italian, Chinese, Snacks",₹150 FOR TWO,kota
Hunger Buddy Fast Food Restaurant,3.6,"Chinese, Continental, Beverages, Italian, Pizzas",₹150 FOR TWO,kota
Nothing Before Coffee,4.4,Indian,₹300 FOR TWO,kota
Bakewell Bakers (GumanPura Wale),4.1,"Desserts, Bakery, Sweets",₹150 FOR TWO,kota
